title	paper_id	venue	issue	year	urls	doi	pages
Learning syntactic program transformations from examples.	ICSE-2017-35	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.44;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.44;http://dl.acm.org/citation.cfm?id=3097417	10.1109/ICSE.2017.44	12
Precise condition synthesis for program repair.	ICSE-2017-36	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.45;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.45;http://dl.acm.org/citation.cfm?id=3097418	10.1109/ICSE.2017.45	11
Heuristically matching solution spaces of arithmetic formulas to efficiently reuse solutions.	ICSE-2017-37	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.46;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.46;http://dl.acm.org/citation.cfm?id=3097419	10.1109/ICSE.2017.46	11
Exploring API embedding for API usages and applications.	ICSE-2017-38	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.47;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.47;http://dl.acm.org/citation.cfm?id=3097421	10.1109/ICSE.2017.47	12
Unsupervised software-specific morphological forms inference from informal discussions.	ICSE-2017-39	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.48;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.48;http://dl.acm.org/citation.cfm?id=3097422	10.1109/ICSE.2017.48	12
SPAIN: security patch analysis for binaries towards understanding the pain and pills.	ICSE-2017-40	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.49;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.49;http://dl.acm.org/citation.cfm?id=3097424	10.1109/ICSE.2017.49	11
Travioli: a dynamic analysis for detecting data-structure traversals.	ICSE-2017-41	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.50;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.50;http://dl.acm.org/citation.cfm?id=3097425	10.1109/ICSE.2017.50	11
ProEva: runtime proactive performance evaluation based on continuous-time markov chains.	ICSE-2017-42	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.51;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.51;http://dl.acm.org/citation.cfm?id=3097426	10.1109/ICSE.2017.51	12
Glacier: transitive class immutability for Java.	ICSE-2017-43	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.52;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.52;http://dl.acm.org/citation.cfm?id=3097428	10.1109/ICSE.2017.52	11
Challenges for static analysis of Java reflection: literature review and empirical study.	ICSE-2017-44	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.53;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.53;http://dl.acm.org/citation.cfm?id=3097429	10.1109/ICSE.2017.53	12
Machine-learning-guided selectively unsound static analysis.	ICSE-2017-45	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.54;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.54;http://dl.acm.org/citation.cfm?id=3097430	10.1109/ICSE.2017.54	11
How good is a security policy against real breaches?: a HIPAA case study.	ICSE-2017-46	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.55;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.55;http://dl.acm.org/citation.cfm?id=3097432	10.1109/ICSE.2017.55	11
Adaptive coverage and operational profile-based testing for reliability improvement.	ICSE-2017-47	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.56;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.56;http://dl.acm.org/citation.cfm?id=3097433	10.1109/ICSE.2017.56	11
RADAR: a lightweight tool for requirements and architecture decision analysis.	ICSE-2017-48	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.57;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.57;http://dl.acm.org/citation.cfm?id=3097435	10.1109/ICSE.2017.57	11
PEoPL: projectional editing of product lines.	ICSE-2017-49	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.58;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.58;http://dl.acm.org/citation.cfm?id=3097436	10.1109/ICSE.2017.58	12
Do developers read compiler error messages?	ICSE-2017-50	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.59;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.59;http://dl.acm.org/citation.cfm?id=3097437	10.1109/ICSE.2017.59	11
A general framework for dynamic stub injection.	ICSE-2017-51	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.60;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.60;http://dl.acm.org/citation.cfm?id=3097438	10.1109/ICSE.2017.60	11
An empirical study on mutation, statement and branch coverage fault revelation that avoids the unreliable clean program assumption.	ICSE-2017-52	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.61;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.61;http://dl.acm.org/citation.cfm?id=3097440	10.1109/ICSE.2017.61	12
Evaluating and improving fault localization.	ICSE-2017-53	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.62;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.62;http://dl.acm.org/citation.cfm?id=3097441	10.1109/ICSE.2017.62	12
Syntactic and semantic differencing for combinatorial models of test designs.	ICSE-2017-54	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.63;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.63;http://dl.acm.org/citation.cfm?id=3097443	10.1109/ICSE.2017.63	11
Balancing soundness and efficiency for practical testing of configurable systems.	ICSE-2017-55	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.64;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.64;http://dl.acm.org/citation.cfm?id=3097444	10.1109/ICSE.2017.64	11
Automatic text input generation for mobile testing.	ICSE-2017-56	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.65;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.65;http://dl.acm.org/citation.cfm?id=3097445	10.1109/ICSE.2017.65	11
A test-suite diagnosability metric for spectrum-based fault localization approaches.	ICSE-2017-57	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.66;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.66;http://dl.acm.org/citation.cfm?id=3097446	10.1109/ICSE.2017.66	11
Automated transplantation and differential testing for clones.	ICSE-2017-58	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.67;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.67;http://dl.acm.org/citation.cfm?id=3097448	10.1109/ICSE.2017.67	12
Code defenders: crowdsourcing effective tests and subtle mutants with a mutation testing game.	ICSE-2017-59	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.68;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.68;http://dl.acm.org/citation.cfm?id=3097449	10.1109/ICSE.2017.68	12
Optimizing test placement for module-level regression testing.	ICSE-2017-60	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.69;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.69;http://dl.acm.org/citation.cfm?id=3097450	10.1109/ICSE.2017.69	11
Learning to prioritize test programs for compiler testing.	ICSE-2017-61	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.70;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.70;http://dl.acm.org/citation.cfm?id=3097451	10.1109/ICSE.2017.70	12
What causes my test alarm?: automatic cause analysis for test alarms in system and integration testing.	ICSE-2017-62	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.71;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.71;http://dl.acm.org/citation.cfm?id=3097453	10.1109/ICSE.2017.71	12
Symbolic model extraction for web application verification.	ICSE-2017-63	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.72;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.72;http://dl.acm.org/citation.cfm?id=3097455	10.1109/ICSE.2017.72	11
UML diagram refinement (focusing on class- and use case diagrams).	ICSE-2017-64	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.73;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.73;http://dl.acm.org/citation.cfm?id=3097456	10.1109/ICSE.2017.73	11
Fuzzy fine-grained code-history analysis.	ICSE-2017-65	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.74;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.74;http://dl.acm.org/citation.cfm?id=3097458	10.1109/ICSE.2017.74	12
To type or not to type: quantifying detectable bugs in JavaScript.	ICSE-2017-66	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.75;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.75;http://dl.acm.org/citation.cfm?id=3097459	10.1109/ICSE.2017.75	12
The evolution of continuous experimentation in software product development: from data to a data-driven organization at scale.	ICSE-2017-67	ICSE	2017	2017	https://doi.org/10.1109/ICSE.2017.76;https://doi.ieeecomputersociety.org/10.1109/ICSE.2017.76;http://dl.acm.org/citation.cfm?id=3097460	10.1109/ICSE.2017.76	11
Context-aware patch generation for better automated program repair.	ICSE-2018-0	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180233;https://ieeexplore.ieee.org/document/8453055	10.1145/3180155.3180233	11
Towards practical program repair with on-demand candidate generation.	ICSE-2018-1	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180245;https://ieeexplore.ieee.org/document/8453056	10.1145/3180155.3180245	12
Software protection on the go: a large-scale empirical study on mobile app obfuscation.	ICSE-2018-4	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180169;https://ieeexplore.ieee.org/document/8453059	10.1145/3180155.3180169	11
GUILeak: tracing privacy policy claims on user input data for Android applications.	ICSE-2018-5	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180196;https://ieeexplore.ieee.org/document/8453060	10.1145/3180155.3180196	11
Online app review analysis for identifying emerging issues.	ICSE-2018-6	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180218;https://ieeexplore.ieee.org/document/8453061	10.1145/3180155.3180218	11
Neuro-symbolic program corrector for introductory programming assignments.	ICSE-2018-8	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180219;https://ieeexplore.ieee.org/document/8453063	10.1145/3180155.3180219	11
Automated localization for unreproducible builds.	ICSE-2018-9	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180224;https://ieeexplore.ieee.org/document/8453064	10.1145/3180155.3180224	11
Enlightened debugging.	ICSE-2018-10	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180242;https://ieeexplore.ieee.org/document/8453065	10.1145/3180155.3180242	11
Sentiment analysis for software engineering: how far can we go?	ICSE-2018-12	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180195;https://ieeexplore.ieee.org/document/8453067	10.1145/3180155.3180195	11
Identifying features in forks.	ICSE-2018-13	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180205;https://ieeexplore.ieee.org/document/8453068	10.1145/3180155.3180205	12
Roles and impacts of hands-on software architects in five industrial case studies.	ICSE-2018-14	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180234;https://ieeexplore.ieee.org/document/8453069	10.1145/3180155.3180234	11
Semantic program repair using a reference implementation.	ICSE-2018-16	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180247;https://ieeexplore.ieee.org/document/8453071	10.1145/3180155.3180247	11
Automated repair of mobile friendly problems in web pages.	ICSE-2018-17	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180262;https://ieeexplore.ieee.org/document/8453072	10.1145/3180155.3180262	11
Static automated program repair for heap properties.	ICSE-2018-18	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180250;https://ieeexplore.ieee.org/document/8453073	10.1145/3180155.3180250	12
Automated reporting of GUI design violations for mobile apps.	ICSE-2018-21	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180246;https://ieeexplore.ieee.org/document/8453076	10.1145/3180155.3180246	11
Leveraging program analysis to reduce user-perceived latency in mobile applications.	ICSE-2018-22	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180249;https://ieeexplore.ieee.org/document/8453077	10.1145/3180155.3180249	11
Repairing crashes in Android apps.	ICSE-2018-23	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180243;https://ieeexplore.ieee.org/document/8453078	10.1145/3180155.3180243	12
Hybrid regression test selection.	ICSE-2018-24	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180198;https://ieeexplore.ieee.org/document/8453079	10.1145/3180155.3180198	11
Fine-grained test minimization.	ICSE-2018-25	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180203;https://ieeexplore.ieee.org/document/8453080	10.1145/3180155.3180203	12
FAST approaches to scalable similarity-based test case prioritization.	ICSE-2018-26	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180210;https://ieeexplore.ieee.org/document/8453081	10.1145/3180155.3180210	11
Towards refactoring-aware regression test selection.	ICSE-2018-27	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180254;https://ieeexplore.ieee.org/document/8453082	10.1145/3180155.3180254	12
Inheritance usage patterns in open-source systems.	ICSE-2018-28	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180168;https://ieeexplore.ieee.org/document/8453083	10.1145/3180155.3180168	11
Almost there: a study on quasi-contributors in open source software projects.	ICSE-2018-29	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180208;https://ieeexplore.ieee.org/document/8453084	10.1145/3180155.3180208	11
To distribute or not to distribute?: why licensing bugs matter.	ICSE-2018-31	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180221;https://ieeexplore.ieee.org/document/8453086	10.1145/3180155.3180221	12
Augusto: exploiting popular functionalities for the generation of semantic GUI tests with Oracles.	ICSE-2018-32	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180162;https://ieeexplore.ieee.org/document/8453087	10.1145/3180155.3180162	11
Towards optimal concolic testing.	ICSE-2018-33	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180177;https://ieeexplore.ieee.org/document/8453088	10.1145/3180155.3180177	12
DeepTest: automated testing of deep-neural-network-driven autonomous cars.	ICSE-2018-34	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180220;https://ieeexplore.ieee.org/document/8453089	10.1145/3180155.3180220	12
Precise concolic unit testing of C programs using extended units and symbolic alarm filtering.	ICSE-2018-35	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180253;https://ieeexplore.ieee.org/document/8453090	10.1145/3180155.3180253	12
Spatio-temporal context reduction: a pointer-analysis-based static approach for detecting use-after-free vulnerabilities.	ICSE-2018-36	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180178;https://ieeexplore.ieee.org/document/8453091	10.1145/3180155.3180178	11
Program splicing.	ICSE-2018-37	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180190;https://ieeexplore.ieee.org/document/8453092	10.1145/3180155.3180190	12
Chopped symbolic execution.	ICSE-2018-38	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180251;https://ieeexplore.ieee.org/document/8453093	10.1145/3180155.3180251	11
Perses: syntax-guided program reduction.	ICSE-2018-39	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180236;https://ieeexplore.ieee.org/document/8453094	10.1145/3180155.3180236	11
Secure coding practices in Java: challenges and vulnerabilities.	ICSE-2018-40	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180201;https://ieeexplore.ieee.org/document/8453095	10.1145/3180155.3180201	12
EnMobile: entity-based characterization and analysis of mobile malware.	ICSE-2018-41	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180223;https://ieeexplore.ieee.org/document/8453096	10.1145/3180155.3180223	11
Does the propagation of artifact changes across tasks reflect work dependencies?	ICSE-2018-44	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180185;https://ieeexplore.ieee.org/document/8453099	10.1145/3180155.3180185	11
Large-scale analysis of framework-specific exceptions in Android apps.	ICSE-2018-45	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180222;https://ieeexplore.ieee.org/document/8453100	10.1145/3180155.3180222	12
A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products.	ICSE-2018-47	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180228;https://ieeexplore.ieee.org/document/8453102	10.1145/3180155.3180228	11
DeFlaker: automatically detecting flaky tests.	ICSE-2018-49	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180164;https://ieeexplore.ieee.org/document/8453104	10.1145/3180155.3180164	12
DetReduce: minimizing Android GUI test suites for regression testing.	ICSE-2018-50	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180173;https://ieeexplore.ieee.org/document/8453105	10.1145/3180155.3180173	11
Time to clean your test objectives.	ICSE-2018-51	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180191;https://ieeexplore.ieee.org/document/8453106	10.1145/3180155.3180191	12
Prioritizing browser environments for web application test execution.	ICSE-2018-52	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180244;https://ieeexplore.ieee.org/document/8453107	10.1145/3180155.3180244	12
Accurate and efficient refactoring detection in commit history.	ICSE-2018-56	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180206;https://ieeexplore.ieee.org/document/8453111	10.1145/3180155.3180206	12
How modern news aggregators help development communities shape and share knowledge.	ICSE-2018-61	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180180;https://ieeexplore.ieee.org/document/8453116	10.1145/3180155.3180180	12
Adding sparkle to social coding: an empirical study of repository badges in the npm ecosystem.	ICSE-2018-62	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180209;https://ieeexplore.ieee.org/document/8453117	10.1145/3180155.3180209	12
"Was my contribution fairly reviewed?": a framework to study the perception of fairness in modern code reviews.	ICSE-2018-63	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180217;https://ieeexplore.ieee.org/document/8453118	10.1145/3180155.3180217	12
Are mutation scores correlated with real fault detection?: a large scale empirical study on the relationship between mutants and real faults.	ICSE-2018-66	ICSE	2018	2018	https://doi.org/10.1145/3180155.3180183;https://ieeexplore.ieee.org/document/8453121	10.1145/3180155.3180183	12
